# SETUP BEGIN
# File Stream: file_name: ../datasets/covtype.csv  -  num_classes: 7  -  num_classification_tasks: 1
# Pipeline: Classifier: no info available
# ADFHoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: mc - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_instances: 100000 - max_time: 1000 - output_file: comparison_Bernoulli_ADFH_Preq.csv - batch_size: 1 - pretrain_size: 200 - task_type: classification - show_plotTrue - plot_options: ['kappa', 'kappa_t', 'performance']
# SETUP END
x_count,global_performance_0,sliding_window_performance_0,global_performance_1,sliding_window_performance_1,global_kappa_0,sliding_window_kappa_0,global_kappa_1,sliding_window_kappa_1,global_kappa_t_0,sliding_window_kappa_t_0,global_kappa_t_1,sliding_window_kappa_t_1
200,0.645,0.645,0.6,0.6,0.165,0.165,0.0,0.0,0.155,0.155,0.048,0.048
400,0.648,0.65,0.645,0.69,0.129,0.102,0.0,0.0,0.096,0.028,0.09,0.139
600,0.638,0.62,0.632,0.605,0.144,0.164,0.0,0.0,0.088,0.073,0.071,0.037
800,0.615,0.545,0.598,0.495,0.159,0.16,0.0,0.0,0.069,0.022,0.027,-0.086
1000,0.574,0.41,0.569,0.455,0.113,-0.016,0.0,0.0,-0.009,-0.297,-0.021,-0.198
1200,0.517,0.23,0.509,0.21,0.089,-0.008,0.0,0.0,-0.103,-0.481,-0.12,-0.519
1400,0.537,0.66,0.469,0.23,0.192,0.504,0.0,0.0,-0.003,0.433,-0.15,-0.283
1600,0.542,0.58,0.426,0.12,0.258,0.447,0.0,0.0,0.001,0.034,-0.254,-1.023
1800,0.561,0.705,0.4,0.195,0.332,0.639,0.0,0.0,0.069,0.496,-0.271,-0.376
2000,0.576,0.715,0.368,0.085,0.399,0.65,0.0,0.0,0.113,0.462,-0.321,-0.726
2200,0.569,0.495,0.34,0.06,0.415,0.328,0.0,0.0,0.071,-0.554,-0.421,-1.892
2400,0.568,0.555,0.319,0.085,0.429,0.403,0.0,0.0,0.04,-0.483,-0.512,-2.05
2600,0.562,0.495,0.3,0.075,0.436,0.358,0.0,0.0,0.012,-0.403,-0.578,-1.569
2800,0.561,0.555,0.282,0.04,0.447,0.38,0.0,0.0,0.009,-0.035,-0.623,-1.233
3000,0.563,0.59,0.267,0.065,0.458,0.421,0.0,0.0,-0.008,-0.344,-0.691,-2.066
3200,0.564,0.575,0.252,0.02,0.466,0.411,0.0,0.0,-0.035,-0.771,-0.776,-3.083
3400,0.571,0.68,0.238,0.015,0.48,0.496,0.0,0.0,-0.044,-0.28,-0.853,-2.94
3600,0.579,0.725,0.226,0.03,0.493,0.55,0.0,0.0,-0.036,0.127,-0.906,-2.079
3800,0.589,0.76,0.216,0.025,0.505,0.547,0.0,0.0,-0.029,0.158,-0.963,-2.421
4000,0.598,0.765,0.206,0.015,0.516,0.555,0.0,0.0,-0.018,0.242,-1.011,-2.177
4200,0.603,0.705,0.202,0.135,0.522,0.569,0.006,-0.021,-0.016,0.033,-1.041,-1.836
4400,0.609,0.74,0.217,0.525,0.529,0.617,0.032,0.0,-0.009,0.187,-1.021,-0.484
4600,0.614,0.72,0.23,0.505,0.534,0.57,0.051,0.0,0.004,0.282,-0.988,-0.269
4800,0.615,0.64,0.238,0.425,0.535,0.501,0.063,0.0,0.006,0.065,-0.967,-0.494
5000,0.618,0.685,0.244,0.4,0.538,0.557,0.072,0.0,0.016,0.241,-0.945,-0.446
5200,0.619,0.66,0.249,0.365,0.54,0.542,0.079,0.0,0.025,0.209,-0.925,-0.477
5400,0.615,0.49,0.251,0.31,0.534,0.345,0.082,0.0,0.015,-0.214,-0.914,-0.643
5600,0.611,0.515,0.25,0.22,0.529,0.383,0.081,0.0,0.019,0.093,-0.892,-0.458
5800,0.604,0.405,0.246,0.14,0.522,0.28,0.078,0.0,0.01,-0.178,-0.884,-0.703
6000,0.594,0.32,0.246,0.235,0.511,0.196,0.078,0.0,-0.009,-0.511,-0.877,-0.7
6200,0.585,0.3,0.244,0.185,0.5,0.221,0.076,0.0,-0.029,-0.573,-0.875,-0.831
6400,0.58,0.44,0.236,0.0,0.496,0.283,0.065,0.0,-0.03,-0.057,-0.876,-0.887
6600,0.58,0.56,0.229,0.0,0.496,0.413,0.057,0.0,-0.028,0.043,-0.886,-1.174
6800,0.577,0.49,0.228,0.195,0.494,0.392,0.059,0.031,-0.024,0.073,-0.869,-0.464
7000,0.572,0.41,0.231,0.32,0.489,0.234,0.066,0.0,-0.029,-0.157,-0.851,-0.333
7200,0.57,0.485,0.228,0.135,0.487,0.349,0.067,0.0,-0.035,-0.256,-0.858,-1.11
7400,0.57,0.555,0.231,0.355,0.488,0.444,0.075,0.207,-0.029,0.144,-0.837,-0.24
7600,0.572,0.645,0.238,0.48,0.491,0.537,0.087,0.304,-0.024,0.145,-0.822,-0.253
7800,0.571,0.565,0.246,0.565,0.492,0.413,0.101,0.367,-0.024,-0.012,-0.8,-0.012
8000,0.571,0.555,0.252,0.46,0.493,0.447,0.11,0.294,-0.019,0.144,-0.777,-0.038
8200,0.567,0.41,0.254,0.35,0.488,0.248,0.115,0.149,-0.024,-0.192,-0.764,-0.313
