# SETUP BEGIN
# File Stream: file_name: ../datasets/covtype.csv  -  num_classes: 7  -  num_classification_tasks: 1
# Prequential Evaluator: n_wait: 200 - max_instances: 100000 - max_time: 1000 - output_file: resultsPrequential.csv - batch_size: 1 - pretrain_size: 1000 - task_type: classification - show_plotTrue - plot_options: ['kappa', 'kappa_t', 'performance']
# SETUP END
x_count,global_performance_0,sliding_window_performance_0,global_kappa_0,sliding_window_kappa_0,global_kappa_t_0,sliding_window_kappa_t_0
200,0.455,0.455,0.0,0.0,-0.198,-0.198
400,0.332,0.21,0.0,0.0,-0.369,-0.519
600,0.298,0.23,0.0,0.0,-0.337,-0.283
800,0.254,0.12,0.0,0.0,-0.485,-1.023
1000,0.242,0.195,0.0,0.0,-0.461,-0.376
1200,0.216,0.085,0.0,0.0,-0.506,-0.726
1400,0.194,0.06,0.0,0.0,-0.636,-1.892
1600,0.18,0.085,0.0,0.0,-0.749,-2.05
1800,0.168,0.075,0.0,0.0,-0.821,-1.569
2000,0.156,0.04,0.0,0.0,-0.86,-1.233
2200,0.147,0.065,0.0,0.0,-0.936,-2.066
2400,0.137,0.02,0.0,0.0,-1.037,-3.083
2600,0.127,0.015,0.0,0.0,-1.127,-2.94
2800,0.12,0.03,0.0,0.0,-1.18,-2.079
3000,0.114,0.025,0.0,0.0,-1.239,-2.421
3200,0.108,0.015,0.0,0.0,-1.286,-2.177
3400,0.109,0.135,0.004,-0.021,-1.311,-1.836
3600,0.132,0.525,0.024,0.0,-1.273,-0.484
3800,0.152,0.505,0.037,0.0,-1.219,-0.269
4000,0.166,0.425,0.044,0.0,-1.182,-0.494
4200,0.177,0.4,0.05,0.0,-1.145,-0.446
4400,0.185,0.365,0.052,0.0,-1.111,-0.477
4600,0.191,0.31,0.052,0.0,-1.089,-0.643
4800,0.192,0.22,0.049,0.0,-1.053,-0.458
5000,0.19,0.14,0.043,0.0,-1.035,-0.703
5200,0.192,0.235,0.04,0.0,-1.021,-0.7
5400,0.191,0.185,0.036,0.0,-1.013,-0.831
5600,0.185,0.0,0.024,0.0,-1.007,-0.887
5800,0.178,0.0,0.015,0.0,-1.014,-1.174
6000,0.179,0.195,0.018,0.031,-0.989,-0.464
6200,0.183,0.32,0.027,0.0,-0.963,-0.333
6400,0.182,0.135,0.029,0.0,-0.968,-1.11
6600,0.187,0.355,0.039,0.207,-0.94,-0.24
6800,0.196,0.48,0.053,0.304,-0.92,-0.253
7000,0.206,0.565,0.068,0.367,-0.894,-0.012
7200,0.213,0.46,0.079,0.294,-0.864,-0.038
7400,0.217,0.35,0.085,0.149,-0.847,-0.313
7600,0.222,0.395,0.092,0.211,-0.824,-0.142
7800,0.227,0.435,0.1,0.322,-0.804,-0.153
8000,0.225,0.13,0.098,0.049,-0.798,-0.596
8200,0.231,0.495,0.107,0.019,-0.781,-0.122
8400,0.244,0.745,0.122,0.143,-0.766,0.121
8600,0.255,0.745,0.136,0.44,-0.742,0.354
8800,0.266,0.71,0.147,0.482,-0.714,0.376
9000,0.274,0.65,0.157,0.451,-0.694,0.186
9200,0.281,0.585,0.165,0.391,-0.672,0.17
9400,0.288,0.63,0.173,0.358,-0.65,0.253
9600,0.296,0.635,0.18,0.326,-0.634,0.141
9800,0.299,0.445,0.184,0.209,-0.622,-0.121
10000,0.299,0.315,0.186,0.0,-0.62,-0.557
10200,0.302,0.445,0.191,0.0,-0.62,-0.632
10400,0.302,0.315,0.192,0.052,-0.627,-1.045
10600,0.299,0.155,0.187,0.072,-0.632,-0.899
10800,0.299,0.28,0.186,0.074,-0.628,-0.44
11000,0.297,0.22,0.184,0.103,-0.61,-0.047
11200,0.296,0.225,0.183,0.067,-0.602,-0.27
11400,0.297,0.36,0.184,0.151,-0.587,-0.024
11600,0.304,0.715,0.191,0.323,-0.578,0.149
11800,0.31,0.65,0.197,0.184,-0.563,0.231
12000,0.314,0.535,0.201,0.223,-0.551,0.079
12200,0.316,0.415,0.203,0.182,-0.54,-0.017
12400,0.316,0.325,0.203,0.188,-0.528,-0.038
12600,0.314,0.195,0.201,0.086,-0.52,-0.193
12800,0.315,0.38,0.202,0.279,-0.506,0.081
13000,0.32,0.625,0.208,0.481,-0.488,0.39
13200,0.323,0.535,0.212,0.433,-0.469,0.331
13400,0.327,0.575,0.216,0.437,-0.453,0.325
13600,0.333,0.78,0.224,0.539,-0.439,0.506
13800,0.337,0.605,0.228,0.374,-0.425,0.336
14000,0.339,0.425,0.23,0.265,-0.421,-0.186
14200,0.337,0.21,0.228,-0.097,-0.434,-2.038
14400,0.332,0.0,0.222,0.0,-0.462,-19.0
14600,0.328,0.0,0.215,0.0,-0.491,-24.0
14800,0.333,0.695,0.22,0.033,-0.498,-5.1
15000,0.339,0.85,0.227,-0.022,-0.501,-2.75
15200,0.345,0.75,0.233,-0.107,-0.506,-4.0
15400,0.35,0.775,0.238,-0.096,-0.511,-4.625
15600,0.356,0.75,0.243,-0.073,-0.516,-4.0
15800,0.36,0.69,0.246,-0.074,-0.523,-5.2
16000,0.363,0.615,0.249,-0.113,-0.532,-6.0
16200,0.366,0.625,0.251,-0.165,-0.542,-9.714
16400,0.369,0.59,0.253,-0.2,-0.553,-15.4
16600,0.371,0.575,0.255,-0.219,-0.565,-16.0
16800,0.373,0.535,0.255,-0.235,-0.577,-14.5
17000,0.378,0.76,0.259,-0.017,-0.583,-5.857
17200,0.382,0.715,0.262,0.0,-0.59,-10.4
17400,0.386,0.72,0.265,0.0,-0.597,-10.2
17600,0.39,0.77,0.268,0.0,-0.604,-14.333
17800,0.394,0.76,0.271,0.0,-0.609,-8.6
18000,0.399,0.795,0.275,0.0,-0.615,-9.25
18200,0.404,0.85,0.278,0.0,-0.618,-9.0
18400,0.409,0.885,0.282,0.0,-0.62,-2.833
18600,0.413,0.75,0.285,0.0,-0.627,-9.0
18800,0.416,0.725,0.287,0.0,-0.634,-12.75
19000,0.42,0.79,0.289,0.0,-0.639,-13.0
19200,0.424,0.8,0.292,0.0,-0.644,-7.0
